method,gene_id
frozen_signature,Solyc05g047530
frozen_signature,Solyc05g050290
frozen_signature,Solyc05g051010
frozen_signature,Solyc05g053310
frozen_signature,Solyc05g053640
frozen_signature,Solyc05g054090
frozen_signature,Solyc05g054330
frozen_signature,Solyc05g055400
frozen_signature,Solyc05g056170
frozen_signature,Solyc06g005300
frozen_signature,Solyc06g006090
frozen_signature,Solyc06g009190
frozen_signature,Solyc06g009770
frozen_signature,Solyc06g035580
frozen_signature,Solyc06g035610
frozen_signature,Solyc06g048440
frozen_signature,Solyc06g048470
frozen_signature,Solyc06g050840
frozen_signature,Solyc06g050870
frozen_signature,Solyc06g051150
frozen_signature,Solyc06g051800
frozen_signature,Solyc06g053620
frozen_signature,Solyc06g053950
frozen_signature,Solyc06g054320
frozen_signature,Solyc06g061170
frozen_signature,Solyc06g064900
frozen_signature,Solyc06g065670
frozen_signature,Solyc06g068900
frozen_signature,Solyc06g069380
frozen_signature,Solyc06g069430
frozen_signature,Solyc06g069730
frozen_signature,Solyc06g071290
frozen_signature,Solyc06g072650
frozen_signature,Solyc06g072700
frozen_signature,Solyc06g074000
frozen_signature,Solyc06g074260
frozen_signature,Solyc06g075720
frozen_signature,Solyc06g082460
frozen_signature,Solyc06g083070
frozen_signature,Solyc06g083580
frozen_signature,Solyc06g084030
frozen_signature,Solyc06g084050
frozen_signature,Solyc07g005390
frozen_signature,Solyc07g007350
frozen_signature,Solyc07g007550
frozen_signature,Solyc07g007750
frozen_signature,Solyc07g008210
frozen_signature,Solyc07g008430
frozen_signature,Solyc07g008620
frozen_signature,Solyc07g016170
frozen_signature,Solyc07g017600
frozen_signature,Solyc07g017950
frozen_signature,Solyc07g022900
frozen_signature,Solyc07g041640
frozen_signature,Solyc07g042390
frozen_signature,Solyc07g043420
frozen_signature,Solyc07g043460
frozen_signature,Solyc07g043500
frozen_signature,Solyc07g049290
frozen_signature,Solyc07g049300
frozen_signature,Solyc07g049370
frozen_signature,Solyc07g049440
