gene_id,display_name,frozen_grade,context,role,n_early,n_late,effect_scale,measured,effect,reference_effect,same_direction,bootstrap_same_direction_frequency,effect_bootstrap_p025,effect_bootstrap_p975
Solyc04g080540,Solyc04g080540,C,GSE267238,external_used_in_frozen_grade,3,3,log2cpm,True,-0.4024523327349012,0.41784086681547616,False,0.06035665294924554,-0.8490043602919037,0.04996335151114639
Solyc08g005770,AAT,A,GSE128739,external_used_in_frozen_grade,3,3,log2cpm,True,6.9468963341499785,0.8120465959821429,True,1.0,5.844782821460662,8.95037343972994
Solyc01g006540,loxC,A,GSE128739,external_used_in_frozen_grade,3,3,log2cpm,True,7.177959685272603,0.47509765625,True,1.0,6.096874257636207,8.241405808102193
Solyc06g051800,EXP1,A,GSE128739,external_used_in_frozen_grade,3,3,log2cpm,True,4.793132963492278,0.5537225632440477,True,1.0,3.3356466800237756,6.250619246960781
Solyc10g006880,NOR,A,GSE128739,external_used_in_frozen_grade,3,3,log2cpm,True,4.981020308051665,0.418398902529762,True,1.0,4.291506976876356,5.781664233008028
Solyc02g088270,Solyc02g088270,A,GSE128739,external_used_in_frozen_grade,3,3,log2cpm,True,6.101444122605265,0.543829055059524,True,1.0,4.818622164448486,7.658678127660476
Solyc03g116510,Solyc03g116510,A,GSE128739,external_used_in_frozen_grade,3,3,log2cpm,True,2.9349518216143977,0.45127650669642855,True,1.0,2.1747010319450344,3.6952026112837615
Solyc10g083400,Solyc10g083400,A,GSE128739,external_used_in_frozen_grade,3,3,log2cpm,True,6.2144230688561315,0.5841820126488095,True,1.0,6.044493179725988,6.404569740774213
Solyc08g014130,IPMS2,A,GSE128739,external_used_in_frozen_grade,3,3,log2cpm,True,5.400903007200999,0.478701636904762,True,1.0,4.954685342689119,5.765501450177182
Solyc01g108490,Solyc01g108490,A,GSE128739,external_used_in_frozen_grade,3,3,log2cpm,True,-3.9403610105257183,-0.7807965959821428,True,1.0,-4.767708612424897,-3.113013408626539
Solyc10g084600,Solyc10g084600,A,GSE128739,external_used_in_frozen_grade,3,3,log2cpm,True,5.965043851604818,0.6166178385416667,True,1.0,5.567746335483899,6.454935645206991
Solyc02g070890,Solyc02g070890,A,GSE128739,external_used_in_frozen_grade,3,3,log2cpm,True,4.628646163307263,0.5818684895833335,True,1.0,4.367325534788172,4.898151001396752
Solyc09g092430,Solyc09g092430,A,GSE128739,external_used_in_frozen_grade,3,3,log2cpm,True,-4.241208196723032,-0.418701171875,True,1.0,-5.526915510562066,-3.257826002306131
Solyc08g080630,ER1,A,GSE128739,external_used_in_frozen_grade,3,3,log2cpm,True,5.007281984564685,0.47013346354166663,True,1.0,3.862681810331061,6.252648950191103
Solyc01g104850,Solyc01g104850,A,GSE128739,external_used_in_frozen_grade,3,3,log2cpm,True,-4.4853599187648925,-0.5013718377976191,True,1.0,-6.025330523858755,-3.5151782790938895
Solyc07g063600,Solyc07g063600,A,GSE128739,external_used_in_frozen_grade,3,3,log2cpm,True,-3.2681728408509914,-0.4616582961309524,True,0.9986282578875172,-5.1610597916609695,-1.3752858900410145
Solyc03g118060,Solyc03g118060,A,GSE128739,external_used_in_frozen_grade,3,3,log2cpm,True,4.94912342257901,0.4217471168154762,True,1.0,2.7208811310660783,7.787338647147347
Solyc10g079050,Solyc10g079050,A,GSE128739,external_used_in_frozen_grade,3,3,log2cpm,True,4.613756163750938,0.5567452566964286,True,1.0,4.1926418128042195,5.070504272390069
Solyc07g042390,Solyc07g042390,A,GSE128739,external_used_in_frozen_grade,3,3,log2cpm,True,-3.8107142208977143,-0.5619187127976191,True,1.0,-5.179120081321634,-2.562777190237548
Solyc01g095080,ACS2,B,GSE128739,external_used_in_frozen_grade,3,3,log2cpm,True,7.7747675747508005,0.6965680803571429,True,1.0,5.7279562227936,9.566033652002854
Solyc08g005610,CYP707A2,B,GSE128739,external_used_in_frozen_grade,3,3,log2cpm,True,4.65911337517404,0.4896647135416666,True,1.0,2.801758569833863,7.225001049336482
Solyc12g017530,Solyc12g017530,B,GSE128739,external_used_in_frozen_grade,3,3,log2cpm,True,4.064215592634017,0.4520786830357142,True,1.0,3.71335323379978,4.382850016109974
Solyc07g054750,Solyc07g054750,B,GSE128739,external_used_in_frozen_grade,3,3,log2cpm,True,1.054496615859268,0.6946265811011906,True,1.0,0.10228004954197241,2.865846914665135
Solyc02g083380,Solyc02g083380,B,GSE128739,external_used_in_frozen_grade,3,3,log2cpm,True,4.843688874693506,0.4128882998511906,True,1.0,4.512407504468097,5.174970244918914
Solyc06g068900,Solyc06g068900,B,GSE128739,external_used_in_frozen_grade,3,3,log2cpm,True,4.283580665575354,0.5066615513392856,True,1.0,3.2020427119787715,5.90814263890339
Solyc03g114360,Solyc03g114360,B,GSE128739,external_used_in_frozen_grade,3,3,log2cpm,True,2.2646897420019663,0.4378255208333335,True,1.0,1.0930258553098184,4.236641872984934
Solyc08g078870,Solyc08g078870,B,GSE128739,external_used_in_frozen_grade,3,3,log2cpm,True,3.1407798346919247,0.4613676525297618,True,1.0,2.2432773925011418,3.9401712186124738
Solyc06g072650,Solyc06g072650,B,GSE128739,external_used_in_frozen_grade,3,3,log2cpm,True,1.451380168759764,0.5408296130952381,True,1.0,1.0426286570686432,1.8642816969219265
Solyc12g096570,ARGOS,B,GSE128739,external_used_in_frozen_grade,3,3,log2cpm,True,4.403925012531791,0.5442475818452381,True,1.0,4.151100674284029,4.6990779141770345
Solyc03g082560,Solyc03g082560,B,GSE128739,external_used_in_frozen_grade,3,3,log2cpm,True,-2.3792111272960694,-0.41287667410714274,True,1.0,-2.6861523834301404,-1.9864324782028793
Solyc01g066740,Solyc01g066740,B,GSE128739,external_used_in_frozen_grade,3,3,log2cpm,True,-2.6267127720856442,-0.42368861607142866,True,1.0,-3.1512084440469117,-2.1022171001243763
Solyc04g080250,Solyc04g080250,B,GSE128739,external_used_in_frozen_grade,3,3,log2cpm,True,5.011926076978184,0.5977957589285716,True,1.0,4.1674303116669735,5.856421842289391
Solyc04g064870,Solyc04g064870,B,GSE128739,external_used_in_frozen_grade,3,3,log2cpm,True,2.1082680526097577,0.46723865327380965,True,1.0,1.0681456465932637,3.385477025636499
Solyc02g084600,Solyc02g084600,B,GSE128739,external_used_in_frozen_grade,3,3,log2cpm,True,-3.938621726551637,-0.47564406622023814,True,1.0,-4.475359289069846,-3.391539210524173
Solyc06g053950,Solyc06g053950,C,GSE128739,external_used_in_frozen_grade,3,3,log2cpm,True,2.3572351757499796,0.4723772321428572,True,1.0,1.97324952571411,2.75018485225994
Solyc04g080540,Solyc04g080540,C,GSE128739,external_used_in_frozen_grade,3,3,log2cpm,True,2.5157406840677057,0.41784086681547616,True,1.0,0.8131675076110882,4.80810055126027
Solyc08g005770,AAT,A,GSE235023,external_not_used_in_grade,2,2,log2cpm,True,12.16932816117768,0.8120465959821429,True,1.0,12.075868615878765,12.262787706476594
Solyc01g006540,loxC,A,GSE235023,external_not_used_in_grade,2,2,log2cpm,True,10.229447929498114,0.47509765625,True,1.0,9.138856195537729,11.320039663458498
Solyc06g051800,EXP1,A,GSE235023,external_not_used_in_grade,2,2,log2cpm,True,6.3084787449835655,0.5537225632440477,True,1.0,5.8454508098361515,6.77150668013098
Solyc10g006880,NOR,A,GSE235023,external_not_used_in_grade,2,2,log2cpm,True,8.636625899783162,0.418398902529762,True,1.0,8.485687895349267,8.787563904217059
Solyc02g088270,Solyc02g088270,A,GSE235023,external_not_used_in_grade,2,2,log2cpm,True,9.00629011205428,0.543829055059524,True,1.0,8.880289651338003,9.132290572770556
Solyc03g116510,Solyc03g116510,A,GSE235023,external_not_used_in_grade,2,2,log2cpm,True,0.5471128776058913,0.45127650669642855,True,0.8125,-0.10455071527888943,1.198776470490672
