layer,assay_universe_n,signature_measured_n,signature_with_both_sources_n,background_with_both_sources_n,background_source_b_confirmed_n,signature_absolute_source_a_min,signature_absolute_source_a_mean,background_absolute_source_a_max,best_equal_size_background_absolute_source_a_mean,absolute_source_a_standardized_mean_gap_lower_bound,signature_in_background_empirical_range_n,range_overlap,selection_adjusted_enrichment_estimable,interpretation
protein_differential,8888,203,203,8579,5892,0.40159970238095255,0.5172657475571047,0.40151832217261907,0.3440309077564216,1.522435064559727,0,False,False,No common empirical source-effect support for the full frozen signature; no selection-adjusted P value is estimated.
RIN_occupancy,35494,463,463,28106,17598,0.40159970238095255,0.5112893758677878,0.40151832217261907,0.35070593627063407,1.527555168538853,0,False,False,No common empirical source-effect support for the full frozen signature; no selection-adjusted P value is estimated.
rin1_differential_among_occupied_testable_genes,1019,43,43,964,701,0.41003999255952384,0.5207395162825305,0.40040806361607145,0.3527058784087763,1.2219866131760768,0,False,False,No common empirical source-effect support for the full frozen signature; no selection-adjusted P value is estimated.
