sample_id,sra_experiment,sra_run,condition,genotype,stage,tissue,cultivar,biological_replicate,inclusion_status,analysis_role
GSM6433190,SRX16873011,SRR20853799,WT_34DPA,wild_type,34_dpa_breaker,fruit,Ailsa_Craig,1,admitted,specificity_panel_perturbation_expression
GSM6433191,SRX16873012,SRR20853798,WT_34DPA,wild_type,34_dpa_breaker,fruit,Ailsa_Craig,2,admitted,specificity_panel_perturbation_expression
GSM6433192,SRX16873013,SRR20853797,WT_34DPA,wild_type,34_dpa_breaker,fruit,Ailsa_Craig,3,admitted,specificity_panel_perturbation_expression
GSM6433202,SRX16873023,SRR20853787,rin_ful1-1_34DPA,rin_ful1-1_mutant,34_dpa_breaker,fruit,Ailsa_Craig,1,admitted,specificity_panel_perturbation_expression
GSM6433203,SRX16873024,SRR20853786,rin_ful1-1_34DPA,rin_ful1-1_mutant,34_dpa_breaker,fruit,Ailsa_Craig,2,admitted,specificity_panel_perturbation_expression
GSM6433204,SRX16873025,SRR20853785,rin_ful1-1_34DPA,rin_ful1-1_mutant,34_dpa_breaker,fruit,Ailsa_Craig,3,admitted,specificity_panel_perturbation_expression
