sample_id,study_id,genotype,stage,stage_ordinal,replicate,include_primary
ACLP1,GSE235023,AC_exocarp,mature_green,0,1,true
ACLP2,GSE235023,AC_exocarp,mature_green,0,2,true
ACHP1,GSE235023,AC_exocarp,red_ripe,1,1,true
ACHP2,GSE235023,AC_exocarp,red_ripe,1,2,true
