sample_id,sra_experiment,sra_run,condition,genotype,stage,tissue,cultivar,biological_replicate,inclusion_status,analysis_role
GSM6433190,SRX16873011,SRR20853799,WT_34DPA,wild_type,34_dpa_breaker,fruit,Ailsa_Craig,1,admitted,specificity_panel_perturbation_expression
GSM6433191,SRX16873012,SRR20853798,WT_34DPA,wild_type,34_dpa_breaker,fruit,Ailsa_Craig,2,admitted,specificity_panel_perturbation_expression
GSM6433192,SRX16873013,SRR20853797,WT_34DPA,wild_type,34_dpa_breaker,fruit,Ailsa_Craig,3,admitted,specificity_panel_perturbation_expression
GSM6433211,SRX16873032,SRR20853778,nor-cr1_34DPA,nor-cr1_mutant,34_dpa_breaker,fruit,Ailsa_Craig,1,admitted,specificity_panel_perturbation_expression
GSM6433212,SRX16873033,SRR20853777,nor-cr1_34DPA,nor-cr1_mutant,34_dpa_breaker,fruit,Ailsa_Craig,2,admitted,specificity_panel_perturbation_expression
GSM6433213,SRX16873034,SRR20853776,nor-cr1_34DPA,nor-cr1_mutant,34_dpa_breaker,fruit,Ailsa_Craig,3,admitted,specificity_panel_perturbation_expression
