gene_id,studyshield_score,permutation_count,empirical_p,bh_fdr
Solyc02g038740,0.9825372359867026,1000,0.000999000999000999,0.00735772164343593
Solyc02g021680,0.969146806065465,1000,0.000999000999000999,0.00735772164343593
Solyc02g065280,0.9551101918122072,1000,0.000999000999000999,0.00735772164343593
Solyc08g005630,0.9510415879090902,1000,0.000999000999000999,0.00735772164343593
Solyc10g083400,0.945809722273073,1000,0.000999000999000999,0.00735772164343593
Solyc12g088220,0.9058875644811688,1000,0.000999000999000999,0.00735772164343593
Solyc02g083380,0.9050838951321264,1000,0.000999000999000999,0.00735772164343593
Solyc06g069430,0.8825762949016989,1000,0.000999000999000999,0.00735772164343593
Solyc11g005990,0.8708878212016826,1000,0.000999000999000999,0.00735772164343593
Solyc04g064870,0.8519893033080439,1000,0.000999000999000999,0.00735772164343593
Solyc03g122130,0.8309638208428617,1000,0.000999000999000999,0.00735772164343593
Solyc05g025600,-0.3266100956624908,1000,0.000999000999000999,0.00735772164343593
Solyc02g085950,-0.77506324876931,1000,0.000999000999000999,0.00735772164343593
Solyc10g081010,-0.7764666989692224,1000,0.000999000999000999,0.00735772164343593
Solyc08g061560,-0.8022273384555855,1000,0.000999000999000999,0.00735772164343593
Solyc10g079410,-0.8464185048194574,1000,0.000999000999000999,0.00735772164343593
Solyc08g069010,-0.8581458720304066,1000,0.000999000999000999,0.00735772164343593
Solyc03g117300,-0.8743000312395409,1000,0.000999000999000999,0.00735772164343593
Solyc02g055440,-0.8831155046587801,1000,0.000999000999000999,0.00735772164343593
Solyc05g051010,-0.8887971055043526,1000,0.000999000999000999,0.00735772164343593
Solyc12g015850,-0.895949204847036,1000,0.000999000999000999,0.00735772164343593
Solyc12g013710,-0.9076458076939352,1000,0.000999000999000999,0.00735772164343593
Solyc07g065540,-0.921725135481307,1000,0.000999000999000999,0.00735772164343593
Solyc04g071800,-0.9235607854570484,1000,0.000999000999000999,0.00735772164343593
Solyc12g015630,-0.9257359181898074,1000,0.000999000999000999,0.00735772164343593
Solyc11g010200,-0.9281244213638136,1000,0.000999000999000999,0.00735772164343593
Solyc08g016310,-0.9325599152815472,1000,0.000999000999000999,0.00735772164343593
Solyc12g098490,-0.9378539043427134,1000,0.000999000999000999,0.00735772164343593
Solyc09g083130,-0.9383025281325844,1000,0.000999000999000999,0.00735772164343593
Solyc01g080280,-0.9418843590946088,1000,0.000999000999000999,0.00735772164343593
Solyc02g088500,-0.9421090216017974,1000,0.000999000999000999,0.00735772164343593
Solyc01g058270,-0.94737616576675,1000,0.000999000999000999,0.00735772164343593
Solyc07g041640,-0.9491427649428292,1000,0.000999000999000999,0.00735772164343593
Solyc03g117690,-0.9502226470860292,1000,0.000999000999000999,0.00735772164343593
Solyc12g006530,-0.9505605474349716,1000,0.000999000999000999,0.00735772164343593
Solyc12g006470,-0.9508003210114266,1000,0.000999000999000999,0.00735772164343593
Solyc07g055050,-0.9508426602902632,1000,0.000999000999000999,0.00735772164343593
Solyc07g049440,-0.9524565170929586,1000,0.000999000999000999,0.00735772164343593
Solyc09g075140,-0.9537120805423228,1000,0.000999000999000999,0.00735772164343593
Solyc10g083670,-0.9551893795071064,1000,0.000999000999000999,0.00735772164343593
Solyc05g018510,-0.9581439298000216,1000,0.000999000999000999,0.00735772164343593
Solyc05g005960,-0.9581663818477648,1000,0.000999000999000999,0.00735772164343593
Solyc04g081300,-0.9601946035941656,1000,0.000999000999000999,0.00735772164343593
Solyc05g053310,-0.9603895254628242,1000,0.000999000999000999,0.00735772164343593
Solyc05g006740,-0.9612174672259414,1000,0.000999000999000999,0.00735772164343593
Solyc12g098600,-0.9618157864783248,1000,0.000999000999000999,0.00735772164343593
Solyc07g061970,-0.9619275003515566,1000,0.000999000999000999,0.00735772164343593
Solyc07g022900,-0.9669144779232344,1000,0.000999000999000999,0.00735772164343593
