source_node,target_gene_id,evidence_type,direction,context,source_id,source_url,evidence_note,admission_status
RIN,Solyc03g114360,in_vivo_promoter_binding,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,Source peak-to-feature table: FDR <= 0.05 in at least two independent ChIP-chip replicates; occupancy only.,admitted
RIN,Solyc10g006880,in_vivo_promoter_binding,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,Source peak-to-feature table: FDR <= 0.05 in at least two independent ChIP-chip replicates; occupancy only.,admitted
RIN,Solyc02g084600,in_vivo_promoter_binding,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,Source peak-to-feature table: FDR <= 0.05 in at least two independent ChIP-chip replicates; occupancy only.,admitted
RIN,Solyc03g082560,in_vivo_promoter_binding,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,Source peak-to-feature table: FDR <= 0.05 in at least two independent ChIP-chip replicates; occupancy only.,admitted
RIN,Solyc08g080630,in_vivo_promoter_binding,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,Source peak-to-feature table: FDR <= 0.05 in at least two independent ChIP-chip replicates; occupancy only.,admitted
RIN,Solyc02g083380,in_vivo_promoter_binding,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,Source peak-to-feature table: FDR <= 0.05 in at least two independent ChIP-chip replicates; occupancy only.,admitted
RIN,Solyc02g088270,in_vivo_promoter_binding,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,Source peak-to-feature table: FDR <= 0.05 in at least two independent ChIP-chip replicates; occupancy only.,admitted
RIN,Solyc07g042390,in_vivo_promoter_binding,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,Source peak-to-feature table: FDR <= 0.05 in at least two independent ChIP-chip replicates; occupancy only.,admitted
RIN,Solyc07g063600,in_vivo_promoter_binding,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,Source peak-to-feature table: FDR <= 0.05 in at least two independent ChIP-chip replicates; occupancy only.,admitted
RIN,Solyc10g079050,in_vivo_promoter_binding,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,Source peak-to-feature table: FDR <= 0.05 in at least two independent ChIP-chip replicates; occupancy only.,admitted
RIN,Solyc04g080250,in_vivo_promoter_binding,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,Source peak-to-feature table: FDR <= 0.05 in at least two independent ChIP-chip replicates; occupancy only.,admitted
RIN,Solyc03g118060,in_vivo_promoter_binding,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,Source peak-to-feature table: FDR <= 0.05 in at least two independent ChIP-chip replicates; occupancy only.,admitted
RIN,Solyc01g066740,in_vivo_promoter_binding,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,Source peak-to-feature table: FDR <= 0.05 in at least two independent ChIP-chip replicates; occupancy only.,admitted
RIN,Solyc08g005770,in_vivo_promoter_binding,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,Source peak-to-feature table: FDR <= 0.05 in at least two independent ChIP-chip replicates; occupancy only.,admitted
RIN,Solyc01g109920,in_vivo_promoter_binding,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,Source peak-to-feature table: FDR <= 0.05 in at least two independent ChIP-chip replicates; occupancy only.,admitted
RIN,Solyc06g068900,in_vivo_promoter_binding,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,Source peak-to-feature table: FDR <= 0.05 in at least two independent ChIP-chip replicates; occupancy only.,admitted
RIN,Solyc06g051800,in_vivo_promoter_binding,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,Source peak-to-feature table: FDR <= 0.05 in at least two independent ChIP-chip replicates; occupancy only.,admitted
RIN,Solyc01g104850,in_vivo_promoter_binding,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,Source peak-to-feature table: FDR <= 0.05 in at least two independent ChIP-chip replicates; occupancy only.,admitted
RIN,Solyc09g092430,in_vivo_promoter_binding,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,Source peak-to-feature table: FDR <= 0.05 in at least two independent ChIP-chip replicates; occupancy only.,admitted
