gene_id,effect_source_a,effect_source_b,same_direction,minimum_absolute_effect
Solyc00g060810,0.9264322916666669,0.8376929873511905,True,0.8376929873511905
Solyc10g007600,-0.8172781808035714,-0.8639206659226192,True,0.8172781808035714
Solyc03g121180,-0.7310500372023809,-0.8839343843005952,True,0.7310500372023809
Solyc11g010960,-0.7101585751488095,-0.8292120070684524,True,0.7101585751488095
Solyc10g054900,-0.7546851748511905,-0.708158947172619,True,0.708158947172619
Solyc09g083190,-0.7066476004464286,-0.7682291666666667,True,0.7066476004464286
Solyc03g007780,0.7007649739583335,0.8116455078125,True,0.7007649739583335
Solyc06g071290,-0.7240513392857143,-0.6972307477678571,True,0.6972307477678571
Solyc08g005770,0.8120465959821429,0.6924525669642858,True,0.6924525669642858
Solyc02g065260,0.6795538039434523,0.7152855282738095,True,0.6795538039434523
Solyc12g088220,0.7594459170386907,0.6761823381696428,True,0.6761823381696428
Solyc02g089080,-0.7334333147321428,-0.6714564732142858,True,0.6714564732142858
Solyc05g005550,-0.6761997767857144,-0.666131882440476,True,0.666131882440476
Solyc11g006250,-0.6651088169642858,-0.7680431547619048,True,0.6651088169642858
Solyc01g110000,-0.6554478236607143,-0.695341564360119,True,0.6554478236607143
Solyc02g063030,-0.6543433779761905,-0.6905633835565478,True,0.6543433779761905
Solyc07g053540,-0.6821172805059526,-0.6541341145833334,True,0.6541341145833334
Solyc01g095080,0.6965680803571429,0.6522739955357142,True,0.6522739955357142
Solyc01g107730,-0.6377766927083334,-0.7871849423363096,True,0.6377766927083334
Solyc09g014350,-0.6325218563988095,-0.6600864955357142,True,0.6325218563988095
Solyc05g012020,0.6180710565476191,0.7530459449404764,True,0.6180710565476191
Solyc01g108490,-0.7807965959821428,-0.6170247395833335,True,0.6170247395833335
Solyc10g084600,0.6166178385416667,0.719366164434524,True,0.6166178385416667
Solyc01g080280,-0.6291736421130953,-0.6098109654017856,True,0.6098109654017856
Solyc05g014280,0.6077008928571428,0.6886160714285716,True,0.6077008928571428
Solyc02g067750,0.6055152529761905,0.6274239676339286,True,0.6055152529761905
Solyc01g099040,0.5985979352678573,0.673921130952381,True,0.5985979352678573
Solyc04g074110,-0.6375674293154763,-0.5970517113095237,True,0.5970517113095237
Solyc03g120570,0.5961914062500001,0.6704101562500002,True,0.5961914062500001
Solyc01g080410,0.6901739211309523,0.5958775111607144,True,0.5958775111607144
Solyc08g081790,0.5942499069940477,0.7487211681547619,True,0.5942499069940477
Solyc05g014000,-0.5887858072916667,-0.6497977120535715,True,0.5887858072916667
Solyc07g051950,0.5867164248511905,0.8015078590029763,True,0.5867164248511905
Solyc08g007240,-0.6346726190476192,-0.5856701078869047,True,0.5856701078869047
Solyc05g053310,-0.596923828125,-0.5834495907738095,True,0.5834495907738095
Solyc10g047240,-0.5831240699404762,-0.5927443731398809,True,0.5831240699404762
Solyc01g109920,0.6038876488095237,0.580264136904762,True,0.580264136904762
Solyc08g061020,-0.5768926711309526,-0.6725609188988095,True,0.5768926711309526
Solyc10g044680,-0.5735444568452381,-0.6422642299107143,True,0.5735444568452381
Solyc09g061890,-0.5695917038690477,-0.7366420200892857,True,0.5695917038690477
Solyc08g066240,0.5690976097470238,0.6887381417410714,True,0.5690976097470238
Solyc01g074030,-0.5633486793154763,-0.5866292317708334,True,0.5633486793154763
Solyc02g083680,-0.6186058407738096,-0.5623837425595238,True,0.5623837425595238
Solyc08g005630,0.6587611607142858,0.5572567894345238,True,0.5572567894345238
Solyc10g079050,0.5567452566964286,0.6250058128720238,True,0.5567452566964286
Solyc08g081220,-0.7006370907738095,-0.5556873139880951,True,0.5556873139880951
Solyc01g104900,-0.5545247395833333,-0.6293364025297619,True,0.5545247395833333
Solyc03g007930,-0.7803838820684526,-0.5523681640625,True,0.5523681640625
Solyc07g022900,-0.5523042224702381,-0.8055361793154763,True,0.5523042224702381
Solyc03g013340,-0.643705822172619,-0.5516183035714286,True,0.5516183035714286
Solyc12g015630,-0.5481538318452381,-0.6541283017113096,True,0.5481538318452381
Solyc10g018140,0.5970865885416666,0.5479329427083335,True,0.5479329427083335
Solyc10g080390,-0.5476539248511906,-0.5706263950892856,True,0.5476539248511906
Solyc04g080250,0.5977957589285716,0.5458635602678571,True,0.5458635602678571
Solyc09g072560,-0.7235979352678571,-0.545503162202381,True,0.545503162202381
Solyc02g088270,0.543829055059524,0.5993187313988096,True,0.543829055059524
Solyc03g117300,-0.5705450148809523,-0.5435384114583334,True,0.5435384114583334
Solyc04g077640,0.5630580357142858,0.5432710193452381,True,0.5432710193452381
Solyc08g066260,0.5417945498511906,0.7811976841517859,True,0.5417945498511906
Solyc12g008430,0.75732421875,0.5326567150297619,True,0.5326567150297619
Solyc02g091920,-0.5726376488095238,-0.531436011904762,True,0.531436011904762
Solyc05g010320,-0.5304129464285715,-0.5325520833333335,True,0.5304129464285715
Solyc02g081600,-0.5266229538690477,-0.609956287202381,True,0.5266229538690477
Solyc03g115640,-0.5256231398809523,-0.6774960472470237,True,0.5256231398809523
Solyc00g156980,-0.5230887276785715,-0.5757475353422621,True,0.5230887276785715
Solyc01g108730,0.5173572358630951,0.7613234747023809,True,0.5173572358630951
Solyc02g088100,-0.5166596912202381,-0.6494373139880951,True,0.5166596912202381
Solyc07g042390,-0.5619187127976191,-0.516630626860119,True,0.516630626860119
Solyc09g075810,-0.5164039248511905,-0.7499476841517858,True,0.5164039248511905
Solyc10g080900,0.5162179129464286,0.6056082589285716,True,0.5162179129464286
Solyc10g083400,0.5841820126488095,0.5149972098214286,True,0.5149972098214286
Solyc11g022590,-0.5130208333333333,-0.7310442243303571,True,0.5130208333333333
Solyc11g012880,-0.5070219494047621,-0.5819208054315477,True,0.5070219494047621
Solyc08g007850,0.5057779947916667,0.6783737909226191,True,0.5057779947916667
Solyc12g096870,-0.5050223214285715,-0.5674700055803572,True,0.5050223214285715
Solyc02g062390,0.5019414992559526,0.6453159877232144,True,0.5019414992559526
Solyc01g104850,-0.5013718377976191,-0.6465715680803573,True,0.5013718377976191
Solyc05g015380,0.5041852678571429,0.5013311476934523,True,0.5013311476934523
Solyc01g097770,-0.49832589285714296,-0.6242036365327382,True,0.49832589285714296
Solyc02g005110,-0.6477108909970238,-0.49798293340773814,True,0.49798293340773814
Solyc12g098490,-0.49737258184523814,-0.5026216052827381,True,0.49737258184523814
Solyc06g083070,-0.6175595238095238,-0.4965645926339286,True,0.4965645926339286
Solyc05g026240,-0.49603562127976186,-0.6025390625,True,0.49603562127976186
Solyc10g051120,0.4945242745535713,0.5199730282738095,True,0.4945242745535713
Solyc01g080680,-0.6652599516369049,-0.4937395368303572,True,0.4937395368303572
Solyc02g065350,-0.4933965773809524,-0.7088448660714286,True,0.4933965773809524
Solyc03g071570,-0.49045526413690477,-0.4963843936011904,True,0.49045526413690477
Solyc05g012510,-0.48956008184523797,-0.5676560174851191,True,0.48956008184523797
Solyc09g066060,0.6534656343005953,0.4892054966517858,True,0.4892054966517858
Solyc02g065280,0.4888974144345238,0.6909760974702381,True,0.4888974144345238
Solyc03g112760,-0.5820428757440476,-0.4886067708333334,True,0.4886067708333334
Solyc04g064620,-0.5682779947916667,-0.48710704985119047,True,0.48710704985119047
Solyc01g058270,-0.48709542410714285,-0.5111955915178572,True,0.48709542410714285
Solyc05g018510,-0.5817173549107144,-0.4850725446428572,True,0.4850725446428572
Solyc10g024420,0.5718877883184524,0.48468889508928575,True,0.48468889508928575
Solyc12g009930,-0.4828287760416667,-0.5043654668898809,True,0.4828287760416667
Solyc02g063150,-0.5658714657738096,-0.48267764136904756,True,0.48267764136904756
Solyc02g092220,-0.48116629464285715,-0.562715076264881,True,0.48116629464285715
Solyc08g067030,-0.5807989211309523,-0.4809105282738095,True,0.4809105282738095
Solyc03g113350,-0.48084077380952384,-0.6374453590029763,True,0.48084077380952384
Solyc07g054860,-0.6162458147321428,-0.48060825892857145,True,0.48060825892857145
Solyc02g038740,0.5063011532738096,0.48031761532738076,True,0.48031761532738076
Solyc01g107890,-0.4799223400297619,-0.6803443545386905,True,0.4799223400297619
Solyc12g015690,-0.4782249813988095,-0.6336379278273809,True,0.4782249813988095
