gene_id,binding_replicates,source_peak_count,max_peak_score,min_peak_fdr,replicate_ids,admitted_binding
Solyc00g095450,3,5,2.774608,0.01161,GSM989347;GSM989348;GSM989349,True
Solyc00g095460,3,5,2.774608,0.01161,GSM989347;GSM989348;GSM989349,True
Solyc00g130690,3,3,2.774608,0.01439,GSM989347;GSM989348;GSM989349,True
Solyc00g130700,3,3,2.774608,0.01439,GSM989347;GSM989348;GSM989349,True
Solyc00g130800,3,3,2.774608,0.01439,GSM989347;GSM989348;GSM989349,True
Solyc00g023250,3,3,2.651293,0.03815,GSM989347;GSM989348;GSM989349,True
Solyc00g023270,3,3,2.651293,0.03815,GSM989347;GSM989348;GSM989349,True
Solyc00g024680,3,4,2.651293,0.00929,GSM989347;GSM989348;GSM989349,True
Solyc00g024690,3,4,2.651293,0.00929,GSM989347;GSM989348;GSM989349,True
Solyc00g112600,3,3,2.651293,0.0019,GSM989347;GSM989348;GSM989349,True
Solyc00g112710,3,3,2.651293,0.0019,GSM989347;GSM989348;GSM989349,True
Solyc00g112810,3,3,2.651293,0.0019,GSM989347;GSM989348;GSM989349,True
Solyc01g102280,3,4,2.515342,0.0,GSM989347;GSM989348;GSM989349,True
Solyc03g114360,3,3,2.447484,0.0,GSM989347;GSM989348;GSM989349,True
Solyc00g025500,3,6,2.446548,0.01754,GSM989347;GSM989348;GSM989349,True
Solyc00g025530,3,3,2.446548,0.03154,GSM989347;GSM989348;GSM989349,True
Solyc00g042130,3,3,2.446548,0.01754,GSM989347;GSM989348;GSM989349,True
Solyc02g091930,3,3,2.428922,0.0,GSM989347;GSM989348;GSM989349,True
Solyc01g094640,3,3,2.345338,0.0,GSM989347;GSM989348;GSM989349,True
Solyc00g028530,3,4,2.293638,0.03175,GSM989347;GSM989348;GSM989349,True
Solyc12g099890,3,6,2.246265,0.0,GSM989347;GSM989348;GSM989349,True
Solyc12g099900,3,6,2.246265,0.0,GSM989347;GSM989348;GSM989349,True
Solyc04g071300,3,3,2.23815,0.0,GSM989347;GSM989348;GSM989349,True
Solyc04g071310,3,3,2.23815,0.0,GSM989347;GSM989348;GSM989349,True
Solyc07g054000,3,3,2.212848,0.00877,GSM989347;GSM989348;GSM989349,True
Solyc07g054010,3,3,2.212848,0.00877,GSM989347;GSM989348;GSM989349,True
Solyc07g054020,3,3,2.212848,0.00877,GSM989347;GSM989348;GSM989349,True
Solyc07g054030,3,3,2.212848,0.00877,GSM989347;GSM989348;GSM989349,True
Solyc01g109750,3,5,2.204198,0.0,GSM989347;GSM989348;GSM989349,True
Solyc01g109760,3,5,2.204198,0.0,GSM989347;GSM989348;GSM989349,True
Solyc09g082460,3,5,2.201924,0.0,GSM989347;GSM989348;GSM989349,True
Solyc03g044300,3,5,2.186419,0.0,GSM989347;GSM989348;GSM989349,True
Solyc03g112340,3,4,2.186419,0.0,GSM989347;GSM989348;GSM989349,True
Solyc03g007770,3,3,2.18305,0.0,GSM989347;GSM989348;GSM989349,True
Solyc01g107410,3,3,2.180173,0.0,GSM989347;GSM989348;GSM989349,True
Solyc04g005800,3,3,2.122422,0.0,GSM989347;GSM989348;GSM989349,True
Solyc04g071610,3,4,2.122422,0.0,GSM989347;GSM989348;GSM989349,True
Solyc10g006880,3,4,2.105208,0.0,GSM989347;GSM989348;GSM989349,True
Solyc02g077920,3,4,2.062586,0.0,GSM989347;GSM989348;GSM989349,True
Solyc02g089620,3,3,2.062586,0.0,GSM989347;GSM989348;GSM989349,True
Solyc02g089630,3,3,2.062586,0.0,GSM989347;GSM989348;GSM989349,True
Solyc04g082410,3,3,2.058106,0.0,GSM989347;GSM989348;GSM989349,True
Solyc04g082420,3,3,2.058106,0.0,GSM989347;GSM989348;GSM989349,True
Solyc05g053050,3,3,2.05798,0.01425,GSM989347;GSM989348;GSM989349,True
Solyc05g053060,3,3,2.05798,0.01425,GSM989347;GSM989348;GSM989349,True
Solyc05g053080,3,3,2.05798,0.01425,GSM989347;GSM989348;GSM989349,True
Solyc08g080040,3,3,2.004679,0.0,GSM989347;GSM989348;GSM989349,True
Solyc08g080050,3,3,2.004679,0.0,GSM989347;GSM989348;GSM989349,True
Solyc08g068460,3,3,1.997676,0.0,GSM989347;GSM989348;GSM989349,True
Solyc04g082510,3,3,1.993988,0.0,GSM989347;GSM989348;GSM989349,True
Solyc03g026220,3,3,1.99062,0.0,GSM989347;GSM989348;GSM989349,True
Solyc02g092820,3,4,1.990367,0.0,GSM989347;GSM989348;GSM989349,True
Solyc08g065940,3,3,1.966077,0.00898,GSM989347;GSM989348;GSM989349,True
Solyc08g065950,3,3,1.966077,0.00898,GSM989347;GSM989348;GSM989349,True
Solyc01g091630,3,3,1.954666,0.0,GSM989347;GSM989348;GSM989349,True
Solyc06g065890,3,5,1.953379,0.0,GSM989347;GSM989348;GSM989349,True
Solyc06g065900,3,5,1.953379,0.0,GSM989347;GSM989348;GSM989349,True
Solyc04g071780,3,4,1.953295,0.00059,GSM989347;GSM989348;GSM989349,True
Solyc02g069410,3,3,1.922897,0.0,GSM989347;GSM989348;GSM989349,True
Solyc02g069420,3,3,1.922897,0.0,GSM989347;GSM989348;GSM989349,True
Solyc02g069430,3,3,1.922897,0.0,GSM989347;GSM989348;GSM989349,True
Solyc01g067670,3,3,1.913077,0.00059,GSM989347;GSM989348;GSM989349,True
Solyc05g024260,3,4,1.908309,0.0,GSM989347;GSM989348;GSM989349,True
Solyc05g016310,3,3,1.902283,0.00183,GSM989347;GSM989348;GSM989349,True
Solyc05g053290,3,4,1.902283,0.00183,GSM989347;GSM989348;GSM989349,True
Solyc05g053300,3,3,1.902283,0.00183,GSM989347;GSM989348;GSM989349,True
Solyc03g117810,3,4,1.896965,0.00047,GSM989347;GSM989348;GSM989349,True
Solyc03g117820,3,4,1.896965,0.00047,GSM989347;GSM989348;GSM989349,True
Solyc01g098390,3,3,1.871489,0.0,GSM989347;GSM989348;GSM989349,True
Solyc02g063360,3,5,1.86426,0.00059,GSM989347;GSM989348;GSM989349,True
Solyc03g115670,3,3,1.860088,0.0,GSM989347;GSM989348;GSM989349,True
Solyc03g115680,3,3,1.860088,0.0,GSM989347;GSM989348;GSM989349,True
Solyc03g006010,3,4,1.859635,0.0,GSM989347;GSM989348;GSM989349,True
Solyc09g014260,3,3,1.856727,0.00308,GSM989347;GSM989348;GSM989349,True
Solyc09g014270,3,3,1.856727,0.00308,GSM989347;GSM989348;GSM989349,True
Solyc02g084600,3,3,1.855427,0.0,GSM989347;GSM989348;GSM989349,True
Solyc06g051690,3,3,1.854716,0.00085,GSM989347;GSM989348;GSM989349,True
Solyc01g067660,3,3,1.849844,0.0,GSM989347;GSM989348;GSM989349,True
Solyc07g006280,3,4,1.835863,0.0,GSM989347;GSM989348;GSM989349,True
Solyc01g104030,3,3,1.816811,0.0,GSM989347;GSM989348;GSM989349,True
Solyc06g073440,3,5,1.816076,0.0,GSM989347;GSM989348;GSM989349,True
Solyc05g006960,3,3,1.803896,0.0,GSM989347;GSM989348;GSM989349,True
Solyc05g006970,3,3,1.803896,0.0,GSM989347;GSM989348;GSM989349,True
Solyc05g009450,3,4,1.796055,0.00387,GSM989347;GSM989348;GSM989349,True
Solyc05g009460,3,4,1.796055,0.00387,GSM989347;GSM989348;GSM989349,True
Solyc10g078340,3,4,1.794043,0.0,GSM989347;GSM989348;GSM989349,True
Solyc10g081720,3,5,1.790998,0.0,GSM989347;GSM989348;GSM989349,True
Solyc02g093150,3,5,1.78493,0.0,GSM989347;GSM989348;GSM989349,True
Solyc03g082550,3,5,1.778781,0.00183,GSM989347;GSM989348;GSM989349,True
Solyc03g082560,3,5,1.778781,0.00183,GSM989347;GSM989348;GSM989349,True
Solyc03g114730,3,4,1.778781,0.0019,GSM989347;GSM989348;GSM989349,True
Solyc06g053950,3,5,1.772439,0.0,GSM989347;GSM989348;GSM989349,True
Solyc06g053960,3,3,1.772439,0.0,GSM989347;GSM989348;GSM989349,True
Solyc06g074710,3,3,1.772439,0.0,GSM989347;GSM989348;GSM989349,True
Solyc08g063040,3,4,1.772132,0.0,GSM989347;GSM989348;GSM989349,True
Solyc08g080090,3,3,1.772132,0.0,GSM989347;GSM989348;GSM989349,True
Solyc04g078100,3,5,1.768685,0.0,GSM989347;GSM989348;GSM989349,True
Solyc04g078110,3,5,1.768685,0.0,GSM989347;GSM989348;GSM989349,True
Solyc11g005390,3,7,1.762949,0.0,GSM989347;GSM989348;GSM989349,True
Solyc03g119220,3,3,1.762188,0.00059,GSM989347;GSM989348;GSM989349,True
Solyc03g119230,3,3,1.762188,0.00059,GSM989347;GSM989348;GSM989349,True
Solyc03g119240,3,3,1.762188,0.00059,GSM989347;GSM989348;GSM989349,True
Solyc01g095710,3,3,1.750745,0.00047,GSM989347;GSM989348;GSM989349,True
Solyc01g098740,3,4,1.750745,0.00047,GSM989347;GSM989348;GSM989349,True
Solyc01g098750,3,4,1.750745,0.00047,GSM989347;GSM989348;GSM989349,True
Solyc04g082580,3,3,1.749826,0.00183,GSM989347;GSM989348;GSM989349,True
Solyc04g082590,3,3,1.749826,0.00183,GSM989347;GSM989348;GSM989349,True
Solyc06g060090,3,4,1.740213,0.0,GSM989347;GSM989348;GSM989349,True
Solyc07g006370,3,3,1.739239,0.00059,GSM989347;GSM989348;GSM989349,True
Solyc10g079370,3,3,1.728156,0.0,GSM989347;GSM989348;GSM989349,True
Solyc07g052960,3,4,1.725271,0.02632,GSM989347;GSM989348;GSM989349,True
Solyc06g009350,3,3,1.72357,0.03815,GSM989347;GSM989348;GSM989349,True
Solyc01g096620,3,3,1.717712,0.00085,GSM989347;GSM989348;GSM989349,True
Solyc01g096630,3,3,1.717712,0.00085,GSM989347;GSM989348;GSM989349,True
Solyc01g096640,3,3,1.717712,0.00085,GSM989347;GSM989348;GSM989349,True
Solyc02g037500,3,4,1.709098,0.0041,GSM989347;GSM989348;GSM989349,True
Solyc02g062690,3,3,1.709098,0.01435,GSM989347;GSM989348;GSM989349,True
Solyc05g007150,3,3,1.708954,0.00059,GSM989347;GSM989348;GSM989349,True
Solyc08g080630,3,3,1.707691,0.00047,GSM989347;GSM989348;GSM989349,True
Solyc08g080640,3,3,1.707691,0.00047,GSM989347;GSM989348;GSM989349,True
Solyc08g080650,3,3,1.707691,0.00047,GSM989347;GSM989348;GSM989349,True
Solyc01g107980,3,4,1.705134,0.00554,GSM989347;GSM989348;GSM989349,True
Solyc01g094490,3,4,1.702693,0.00707,GSM989347;GSM989348;GSM989349,True
Solyc01g099750,3,3,1.702693,0.02184,GSM989347;GSM989348;GSM989349,True
Solyc01g109930,3,4,1.702693,0.01897,GSM989347;GSM989348;GSM989349,True
Solyc08g078450,3,3,1.701412,0.00237,GSM989347;GSM989348;GSM989349,True
Solyc08g078460,3,3,1.701412,0.00237,GSM989347;GSM989348;GSM989349,True
Solyc03g005020,3,3,1.697928,0.00162,GSM989347;GSM989348;GSM989349,True
Solyc05g007660,3,3,1.695513,0.0,GSM989347;GSM989348;GSM989349,True
Solyc05g009550,3,3,1.695513,0.0,GSM989347;GSM989348;GSM989349,True
Solyc07g047970,3,3,1.695352,0.00237,GSM989347;GSM989348;GSM989349,True
Solyc07g047980,3,3,1.695352,0.00237,GSM989347;GSM989348;GSM989349,True
Solyc07g055560,3,3,1.695352,0.0,GSM989347;GSM989348;GSM989349,True
Solyc10g024490,3,3,1.687735,0.00085,GSM989347;GSM989348;GSM989349,True
Solyc10g080030,3,4,1.687735,0.0,GSM989347;GSM989348;GSM989349,True
Solyc10g085880,3,4,1.687735,0.0,GSM989347;GSM989348;GSM989349,True
Solyc10g085890,3,3,1.687735,0.0,GSM989347;GSM989348;GSM989349,True
Solyc02g092730,3,3,1.686751,0.0019,GSM989347;GSM989348;GSM989349,True
Solyc02g092740,3,3,1.686751,0.0019,GSM989347;GSM989348;GSM989349,True
Solyc02g092750,3,3,1.686751,0.0019,GSM989347;GSM989348;GSM989349,True
Solyc02g092760,3,3,1.686751,0.0019,GSM989347;GSM989348;GSM989349,True
Solyc06g072870,3,3,1.685268,0.01811,GSM989347;GSM989348;GSM989349,True
Solyc06g072880,3,3,1.685268,0.01811,GSM989347;GSM989348;GSM989349,True
Solyc06g072890,3,3,1.685268,0.01811,GSM989347;GSM989348;GSM989349,True
Solyc06g072900,3,3,1.685268,0.01811,GSM989347;GSM989348;GSM989349,True
Solyc06g072910,3,3,1.685268,0.01811,GSM989347;GSM989348;GSM989349,True
Solyc10g008730,3,4,1.681916,0.0,GSM989347;GSM989348;GSM989349,True
Solyc08g083130,3,3,1.677384,0.00686,GSM989347;GSM989348;GSM989349,True
Solyc08g083140,3,3,1.677384,0.00686,GSM989347;GSM989348;GSM989349,True
Solyc03g118810,3,3,1.657501,0.0019,GSM989347;GSM989348;GSM989349,True
Solyc03g118820,3,5,1.657501,0.0019,GSM989347;GSM989348;GSM989349,True
Solyc01g099290,3,4,1.651646,0.0,GSM989347;GSM989348;GSM989349,True
Solyc07g006880,3,4,1.650259,0.00541,GSM989347;GSM989348;GSM989349,True
Solyc08g082170,3,3,1.64325,0.00183,GSM989347;GSM989348;GSM989349,True
Solyc04g076410,3,3,1.640053,0.00183,GSM989347;GSM989348;GSM989349,True
Solyc04g076420,3,3,1.640053,0.00183,GSM989347;GSM989348;GSM989349,True
Solyc02g092140,3,4,1.631412,0.00421,GSM989347;GSM989348;GSM989349,True
Solyc02g092150,3,4,1.631412,0.00421,GSM989347;GSM989348;GSM989349,True
Solyc02g090800,3,3,1.62627,0.00162,GSM989347;GSM989348;GSM989349,True
Solyc02g090810,3,3,1.62627,0.00162,GSM989347;GSM989348;GSM989349,True
Solyc01g106280,3,3,1.625298,0.00439,GSM989347;GSM989348;GSM989349,True
Solyc01g106290,3,3,1.625298,0.00439,GSM989347;GSM989348;GSM989349,True
Solyc09g075830,3,4,1.603867,0.0,GSM989347;GSM989348;GSM989349,True
Solyc10g079870,3,3,1.603348,0.0,GSM989347;GSM989348;GSM989349,True
Solyc10g080470,3,3,1.603348,0.0,GSM989347;GSM989348;GSM989349,True
Solyc10g080480,3,3,1.603348,0.0,GSM989347;GSM989348;GSM989349,True
Solyc02g083380,3,3,1.585546,0.00702,GSM989347;GSM989348;GSM989349,True
Solyc02g083390,3,3,1.585546,0.00702,GSM989347;GSM989348;GSM989349,True
Solyc06g061020,3,5,1.584237,0.00421,GSM989347;GSM989348;GSM989349,True
Solyc01g016500,3,3,1.580368,0.00387,GSM989347;GSM989348;GSM989349,True
Solyc01g016510,3,3,1.580368,0.00387,GSM989347;GSM989348;GSM989349,True
Solyc01g016530,3,3,1.580368,0.00387,GSM989347;GSM989348;GSM989349,True
Solyc01g092960,3,4,1.580368,0.00554,GSM989347;GSM989348;GSM989349,True
Solyc01g106570,3,3,1.580368,0.01023,GSM989347;GSM989348;GSM989349,True
Solyc05g009110,3,3,1.571548,0.00237,GSM989347;GSM989348;GSM989349,True
