gene_id,effect_source_a,protein_description,protein_log2_BR8_vs_MG,protein_measured,protein_de_log2_ratio,protein_de_p,protein_de_fdr,phosphosite_de_count,phosphosite_max_abs_log2_ratio,phosphosite_representative_log2_ratio,phosphosite_min_fdr,phosphosite_ids,protein_differential_BR8_vs_MG,phosphosite_differential_BR8_vs_MG
Solyc01g100930,-0.4387207031249999,"GDSL esterase_lipase At1g09390  IPR001087  Lipase, GDSL",-1.1620953600481483,True,-1.1627343424428767,6.99564968786465e-13,1.02433829366954e-11,,,,,,True,False
Solyc06g050840,-0.4380696614583333,,,,,,,,,,,,,
Solyc09g092130,-0.5697660900297621,"Sucrose phosphate synthase  IPR012819  Sucrose phosphate synthase, plant",-1.199637995482774,True,-1.2001068545614468,1.08541790783622e-11,9.96610988104168e-11,8.0,0.9054097484097389,0.9054097484097389,3.40854668736579e-07,Solyc09g092130.2.1_S127;S131;Solyc09g092130.2.1_S131;Solyc09g092130.2.1_S131;S147;Solyc09g092130.2.1_S147;Solyc09g092130.2.1_S699,True,True
Solyc05g006740,-0.4374534970238095,"Glutathione S-transferase  IPR004046  Glutathione S-transferase, C-terminal",0.2792839723233409,True,,,,,,,,,False,False
Solyc04g071800,-0.5704868861607142,,,,,,,,,,,,,
Solyc09g083390,0.5057082403273812,,,,,,,,,,,,,
Solyc02g090960,-0.5336565290178571,,,,,,,,,,,,,
Solyc01g008680,0.4362676711309524,,,,,,,,,,,,,
Solyc12g099430,-0.4562639508928572,Epoxide hydrolase 1  IPR000639  Epoxide hydrolase-like,-0.5372053886854765,True,,,,1.0,0.6562840169232949,0.6562840169232949,0.000112748471969375,Solyc12g099430.1.1_S135,False,True
Solyc11g008630,-0.5546758742559526,Hydroxycinnamoyl CoA shikimate_quinate hydroxycinnamoyltransferase-like protein (Fragment)  IPR003480  Transferase,-2.5465549636502733,True,-2.5468297586949187,2.49852576854142e-18,1.1103448515398e-15,,,,,,True,False
Solyc12g015850,-0.4688778831845238,,,,,,,,,,,,,
Solyc08g061560,-0.577090308779762,,,,,,,,,,,,,
Solyc07g049290,-0.434384300595238,"Nitrate transporter  IPR000109  TGF-beta receptor, type I_II extracellular region",-2.563420064366615,True,-2.561446768500536,1.40217467139612e-15,7.46171558490512e-14,1.0,0.9768316899193334,-0.9768316899193334,5.97855293782939e-08,Solyc07g049290.2.1_S564,True,True
Solyc07g005390,-0.5202752976190477,Aldehyde dehydrogenase  IPR015590  Aldehyde dehydrogenase,-0.7472506633792648,True,-0.747475423250852,1.75199360031053e-10,1.09045652097759e-09,,,,,,True,False
Solyc02g078620,-0.4331868489583335,,,,,,,,,,,,,
Solyc02g055440,-0.5231468563988095,,,,,,,,,,,,,
Solyc02g090930,-0.4324311755952381,,,,,,,,,,,,,
Solyc02g087840,-0.5917271205357142,,,,,,,,,,,,,
Solyc03g093360,-0.4320242745535715,"Wound_stress protein  IPR001024  Lipoxygenase, LH2",-0.7201851549010091,True,-0.7221855940394987,8.28502729016729e-09,3.25973096746378e-08,,,,,,True,False
Solyc11g018500,-0.5460263206845238,"Beta-galactosidase  IPR001944  Glycoside hydrolase, family 35",-0.4658558844285058,True,,,,,,,,,False,False
Solyc08g013670,-0.4298037574404761,Photosystem I reaction center subunit  IPR008796  Photosystem I reaction centre subunit N,-2.079830895788416,True,-2.0779960229396077,5.24152176731986e-13,8.03218025309292e-12,,,,,,True,False
Solyc11g010200,-0.4297572544642857,14-3-3 protein beta_alpha-1  IPR000308  14-3-3 protein,-0.5412353347176384,True,,,,,,,,,False,False
Solyc10g079410,-0.4292689732142857,,,,,,,,,,,,,
Solyc07g066150,-0.4292573474702381,"Photosystem I reaction center subunit V  IPR017494  Photosystem I reaction center, PsaG, plant",-3.5097734128525837,True,-3.5106802896915217,6.44015115572293e-13,9.56770084879557e-12,,,,,,True,False
Solyc06g084050,-0.4283621651785714,,,,,,,,,,,,,
Solyc12g011410,-0.4282226562499999,,,,,,,,,,,,,
Solyc06g082460,-0.4273158482142856,,,,,,,,,,,,,
Solyc06g065670,-0.494349888392857,,,,,,,,,,,,,
Solyc08g081940,-0.5038713727678571,,,,,,,,,,,,,
Solyc08g078870,0.4613676525297618,,,,,,,,,,,,,
Solyc07g051820,-0.4252929687499999,Cellulose synthase  IPR005150  Cellulose synthase,-1.836908636397971,True,-1.8377438163204127,1.53059410123142e-14,4.72358346241143e-13,,,,,,True,False
Solyc01g105050,-0.4246535528273811,"Chlorophyll a-b binding protein, chloroplastic  IPR001344  Chlorophyll A-B binding protein",-3.7628238165376224,True,-3.7603235187508104,4.16797908412101e-13,6.56826207440914e-12,,,,,,True,False
Solyc05g005920,-0.4241768973214285,,,,,,,,,,,,,
Solyc01g066740,-0.4236886160714286,,,,,,,,,,,,,
Solyc10g050110,-0.4230608258928571,"LRR receptor-like serine_threonine-protein kinase, RLP",-0.2504452782681447,True,,,,,,,,,False,False
Solyc05g051010,-0.4959658668154761,Dihydroflavonol 4-reductase family-binding domain,-0.7867753590600468,True,-0.7878692267586204,1.09496392124169e-09,5.51702909977109e-09,,,,,,True,False
Solyc10g044510,-0.4226306733630953,,,,,,,,,,,,,
Solyc07g007350,-0.4365931919642857,,,,,,,,,,,,,
Solyc02g087870,-0.4198172433035713,,,,,,,,,,,,,
Solyc10g005210,-0.699311755952381,,,,,,,,,,,,,
Solyc02g069670,-0.419096447172619,"Alpha-glucosidase 1  IPR000322  Glycoside hydrolase, family 31",-0.7735478693533463,True,-0.7739987792852195,4.8542282240838e-09,2.02270888212174e-08,,,,,,True,False
Solyc09g092430,-0.418701171875,Selenium binding protein  IPR008826  Selenium-binding protein,-1.5763868782653432,True,-1.5766388700897882,6.56134160531787e-16,4.08915697571563e-14,,,,,,True,False
Solyc03g033730,-0.4183175223214286,,,,,,,,,,,,,
Solyc12g088700,-0.4182942708333333,,,,,,,,,,,,,
Solyc03g122130,0.4178931826636906,"L-lactate dehydrogenase  IPR012133  Alpha-hydroxy acid dehydrogenase, FMN-dependent",1.1864765317473756,True,1.1836699268431476,5.78838323652216e-11,4.15566641407181e-10,,,,,,True,False
Solyc04g072850,-0.5227167038690477,"Alpha-L-arabinofuranosidase_beta-D-xylosidase  IPR001764  Glycoside hydrolase, family 3, N-terminal",-0.531420788600014,True,,,,,,,,,False,False
Solyc05g056170,-0.4347679501488095,,,,,,,,,,,,,
Solyc04g070970,-0.6566685267857144,,,,,,,,,,,,,
Solyc07g062670,0.5576753162202381,,,,,,,,,,,,,
Solyc07g017950,-0.4732491629464286,"Ribulose bisphosphate carboxylase small chain  IPR000894  Ribulose bisphosphate carboxylase, small chain",-0.8502241758768042,True,-0.8498046295103647,8.49679461829456e-11,5.82262995893616e-10,,,,,,True,False
Solyc06g050870,0.7149948846726191,,,,,,,,,,,,,
Solyc03g082560,-0.4128766741071427,,,,,,,,,,,,,
Solyc11g040150,-0.4128534226190476,,,,,,,,,,,,,
