gene_id,protein_description,protein_log2_BR8_vs_MG,protein_measured,protein_de_log2_ratio,protein_de_p,protein_de_fdr,phosphosite_de_count,phosphosite_max_abs_log2_ratio,phosphosite_representative_log2_ratio,phosphosite_min_fdr,phosphosite_ids,protein_differential_BR8_vs_MG,phosphosite_differential_BR8_vs_MG
Solyc01g106480,"Malate dehydrogenase  IPR010097  Malate dehydrogenase, NAD-dependent, eukaryotes and gamma proteobacteria",0.03618017348087929,True,,,,,,,,,False,False
Solyc01g106580,Unknown Protein,-1.6049856671927227,True,-1.6048991078725376,1.01503649138298e-14,3.49676137031471e-13,,,,,,True,False
Solyc01g106620,"Pathogenesis-related protein 1a  IPR018244  Allergen V5_Tpx-1 related, conserved site",1.5256021140798866,True,1.5246832928281628,4.65019356058068e-07,1.22064147567752e-06,,,,,,True,False
Solyc01g106680,Unknown Protein,-1.1875685926609423,True,-1.1881983566140206,4.60719112703289e-11,3.40402573937806e-10,,,,,,True,False
Solyc01g106740,"Aspartyl-tRNA synthetase  IPR004524  Aspartyl-tRNA synthetase, class IIb, bacterial_mitochondrial type",0.520933155779183,True,,,,,,,,,False,False
Solyc01g106770,"Serine_threonine-protein kinase TEL1  IPR003151  PIK-related kinase, FAT",-0.5101253016447477,True,,,,5.0,1.0024330636646883,1.0024330636646883,2.24087468995661e-07,Solyc01g106770.2.1_S1158;Solyc01g106770.2.1_S1162;Solyc01g106770.2.1_S459,False,True
Solyc01g106780,Pyruvate kinase  IPR001697  Pyruvate kinase,-0.24012936093115275,True,,,,,,,,,False,False
Solyc01g106820,Peptidase M50 family,-0.08495810739171193,True,,,,,,,,,False,False
Solyc01g106880,Ribosomal RNA small subunit methyltransferase E  IPR006700  Ribosomal RNA small subunit methyltransferase E,0.28960311112179316,True,,,,,,,,,False,False
Solyc01g106900,"Magnesium transporter MRS2-3  IPR002523  Mg2+ transporter protein, CorA-like",0.41717300930572865,True,,,,,,,,,False,False
Solyc01g106950,Os03g0431932 protein (Fragment),-0.05571890134293667,True,,,,,,,,,False,False
Solyc01g107030,Somatic embryogenesis related protein,-0.07047872488680028,True,,,,6.0,0.9617440304980576,0.9617440304980576,5.65080911529501e-07,Solyc01g107030.2.1_S10;Solyc01g107030.2.1_S123;Solyc01g107030.2.1_S265;Solyc01g107030.2.1_S47;S51;Solyc01g107030.2.1_T248;Solyc01g107030.2.1_T309,False,True
